conflict_id	conflict_class	source_refs	issue	authoritative_resolution	semantic_owner	boundary	regression_test_id	p7_task_ids	status
P5-L001	SEMANTIC_CONFLICT	P2-06;P4-B001;P4-B014-P4-B036	Local and public could disagree on SectionKey three-valued rules 22 filters watch or audio semantics.	Exactly one shared business core owns all domain Catalog query Open watch and audio-state semantics; adapters may supply policy inputs only.	SHARED_BUSINESS_CORE	SHARED_SEMANTICS	P5-T-LEAK-SEMANTICS	P7-SHARED-DOMAIN;P7-SHARED-QUERY;P7-SHARED-OPEN;P7-SHARED-WATCH	RESOLVED
P5-L002	CODE_FORK	P4-00-§8;P4-B001;P4-B052	A long-lived local/public source fork could duplicate and drift business logic.	One repository and one implementation of every SHARED module; local and public entrypoints depend inward on the same interfaces and never copy shared modules.	SHARED_BUSINESS_CORE	SHARED_IMPLEMENTATION_GRAPH	P5-T-LEAK-NO-LONG-LIVED-FORK	P7-SHARED-BUILD-GUARD	RESOLVED
P5-L003	SOURCE_LEAKAGE	P4-B064-P4-B076;P4-05	A variant-only or excluded source unit could become reachable from the wrong product graph.	Feature modules live behind explicit adapter crates or web entrypoint imports; reachability manifests prove LOCAL_ONLY absent from public PUBLIC_ONLY absent from local and EXCLUDED absent from both.	BUILD_BOUNDARY_OWNER	SHARED_SOURCE_GRAPH	P5-T-LEAK-SOURCE-GRAPH	P7-SHARED-BUILD-GUARD;P7-PUBLIC-ZERO-SURFACE	RESOLVED
P5-L004	ROUTE_LEAKAGE	P4-B038;P4-B066;P4-B068;P4-05	Saved-view reset or operations routes could leak into the wrong HTTP or SPA router.	Each entrypoint owns an explicit route allowlist; shared direct section routes remain in both while local-only management and public-only operations routes are compiled only for their owner.	ENTRYPOINT_OWNERS	ENTRYPOINT_ROUTE_GRAPH	P5-T-LEAK-ROUTE-ALLOWLIST	P7-LOCAL-RUNTIME;P7-PUBLIC-RUNTIME;P7-PUBLIC-ZERO-SURFACE	RESOLVED
P5-L005	API_LEAKAGE	P4-B052;P4-B066;P4-B068-P4-B071;P4-05	A typed request response or command intended for one variant could be exposed by the other API.	Shared API DTOs contain shared facts only; local and public adapters register variant APIs explicitly and contract snapshots reject foreign endpoints and fields.	API_CONTRACT_OWNER	ENTRYPOINT_API_GRAPH	P5-T-LEAK-API-CONTRACT	P7-SHARED-DOMAIN;P7-LOCAL-RUNTIME;P7-PUBLIC-RUNTIME	RESOLVED
P5-L006	STORAGE_LEAKAGE	P4-B047;P4-B050-P4-B051;P4-B057;P4-B065-P4-B067;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	A single local physical database could erase logical ownership boundaries or personal migrations and tables could become linked into the public operational store.	P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001 freezes one executable-root data/rbcsp.sqlite for Windows with disjoint operational and LOCAL_ONLY personal table migration manifests; CWD and fallback paths are forbidden. Public uses /var/lib/bcsp operational-only storage and its dependency link migration schema and table snapshots must contain zero personal definitions.	STORAGE_BOUNDARY_OWNER	ENTRYPOINT_STORAGE_GRAPH	P5-T-LEAK-STORAGE-SCHEMA	P7-LOCAL-PERSISTENCE;P7-PUBLIC-RUNTIME;P7-PUBLIC-ZERO-SURFACE	RESOLVED
P5-L007	I18N_LEAKAGE	P4-B048-P4-B050;P4-B066;P4-B068;P4-05	Variant-only labels could reveal absent capabilities or locale initialization could become shared persistence.	Canonical shared en-US and zh-CN keys are common; local and public overlays are separate build inputs and key scans reject foreign namespaces.	I18N_OWNER	ENTRYPOINT_I18N_GRAPH	P5-T-LEAK-I18N-KEYS	P7-SHARED-I18N;P7-LOCAL-RUNTIME;P7-PUBLIC-SESSION;P7-PUBLIC-ZERO-SURFACE	RESOLVED
P5-L008	BUNDLE_LEAKAGE	P4-B064-P4-B076;P4-05	Tree shaking alone could leave variant-only chunks symbols storage keys or UI controls in the wrong WebUI bundle.	Separate local and public UI entrypoints use positive import allowlists; emitted chunk symbol route storage-key and text scans are mandatory negative tests.	WEB_BUILD_OWNER	ENTRYPOINT_BUNDLE_GRAPH	P5-T-LEAK-BUNDLE-SCAN	P7-SHARED-UI;P7-LOCAL-PACKAGE;P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE	RESOLVED
P5-L009	PACKAGE_LEAKAGE	P4-B064;P4-B072-P4-B076;P4-04;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	Windows launcher assets Linux operations files prebuilt databases SQLite sidecars seed or real Catalog Open data could cross or contaminate either final archive.	Exactly two explicit artifact manifests remain: Windows local one-click and Linux public. Both deny DB SQLite WAL SHM seed and real Catalog Open payloads so runtime storage is first-run created; allowlist diff secret scan dependency inspection and smoke tests also reject foreign evidence and runtime-residue files.	PACKAGE_OWNERS	ENTRYPOINT_PACKAGE_GRAPH	P5-T-LEAK-PACKAGE-MANIFEST	P7-LOCAL-PACKAGE;P7-PUBLIC-PACKAGE;P7-SHARED-BUILD-GUARD	RESOLVED
P5-L010	STATE_OWNERSHIP_CONFLICT	P2-06-§7.1;P4-B039;P4-B047;P4-B050-P4-B051;P4-B065-P4-B068	Public ephemeral page state local persistent personal state and shared operational checkpoints could be conflated.	State types carry explicit PERSONAL_EPHEMERAL PERSONAL_LOCAL_DURABLE or SERVICE_OPERATIONAL ownership; only local durable personal adapters and public durable operational adapters may persist their owned classes.	STATE_MODEL_OWNER	STATE_OWNER	P5-T-LEAK-STATE-OWNERSHIP	P7-SHARED-DOMAIN;P7-LOCAL-PERSISTENCE;P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME	RESOLVED
