risk_id	dependency_or_area	ecosystem	intended_role	license	license_source	status	risk	cleanup_or_alternative	p7_task_id	mechanical_resolution
P6-D001	axum	Rust	Typed HTTP routing WebSocket and static delivery	MIT	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	API churn or unnecessary feature closure	Use minimal features; reject if exact locked release metadata differs	P7.1-002;P7.1-003	Resolve exact release in Cargo.lock; cargo metadata consumer graph; license file hash; deny duplicate major versions
P6-D002	tokio	Rust	Single async runtime scheduler network and shutdown	MIT	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Feature bloat and nondeterministic time tests	Enable only required runtime time sync net signal features; use paused-time tests	P7.1-002;P7.1-003	Resolve exact release in Cargo.lock; feature tree audit; deterministic scheduler tests; license file hash
P6-D003	reqwest with rustls	Rust	Rutgers HTTPS client	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Accidental native-tls or system OpenSSL dependency	Disable default native TLS; require rustls-only dependency graph	P7.1-002;P7.1-007	Resolve exact release in Cargo.lock; cargo tree TLS assertion; clean Windows and Ubuntu dynamic dependency scan
P6-D004	serde and serde_json	Rust	Versioned HTTP WS config and fixture serialization	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Untyped Value spread can bypass domain validation	Use typed boundary structs; restrict Value to raw evidence adapters	P7.1-002;P7.1-004	Resolve exact releases in Cargo.lock; consumer graph; schema golden tests; license file hashes
P6-D005	rusqlite with bundled SQLite and FTS5	Rust	SQLite storage migrations transactions and FTS	MIT	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Native build reproducibility FTS feature mismatch and SQLite license notice omission	Pin bundled SQLite source through lock; assert FTS5; record SQLite public-domain notice separately	P7.1-002;P7.1-005	Resolve exact crate and bundled SQLite versions; compile-option test; clean-target build; SBOM and notice generation
P6-D006	tower and tower-http	Rust	Middleware tracing request limits static assets and compression	MIT	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Over-broad middleware may expose files or weaken limits	Use explicit layers and static allowlist; no directory browsing	P7.1-002;P7.1-003	Resolve exact releases; route/layer snapshot; feature audit; package content test
P6-D007	tracing and tracing-subscriber	Rust	Structured redacted runtime diagnostics	MIT	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	PII Section watch state or secret leakage in logs	Typed redaction fields and denylisted values; no raw response body logging	P7.1-002;P7.1-012	Resolve exact releases; consumer graph; log fixture redaction scan; license file hashes
P6-D008	thiserror	Rust	Typed internal errors and stable translation keys	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Internal detail could be serialized directly	Map errors through versioned public error contract	P7.1-002;P7.1-004	Resolve exact release; API serialization tests; dependency and license audit
P6-D009	sha2	Rust	Evidence content-version provenance and artifact hashes	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Hash use could be mistaken for credential hashing	Restrict to non-secret integrity; never use for password storage because product has no accounts	P7.1-002;P7.1-005	Resolve exact release; consumer-symbol audit; known-vector tests; license file hash
P6-D010	uuid	Rust	Observation episode action and correlation identifiers	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Random IDs can make deterministic tests brittle	Inject ID source in tests and never encode user identity	P7.1-002;P7.1-004	Resolve exact release; minimal RNG features; deterministic fixture tests; license file hash
P6-D011	time	Rust	Rutgers-day counters timestamps freshness and retention	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Timezone and DST errors	Explicit America/New_York Rutgers-day conversion and injected clock	P7.1-002;P7.1-007	Resolve exact release; timezone feature audit; DST boundary tests; license file hash
P6-D012	directories	Rust	No final consumer after P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	MIT OR Apache-2.0	NO_FINAL_CONSUMER	REJECTED	Retaining a Known-Folder helper would permit an unauthorized fallback outside the package root	Remove from manifests and lockfiles; resolve package root with Rust std::env::current_exe or equivalent executable-path primitive; never use CWD LocalAppData TEMP or username paths	P7.1-002;P7.1-010	Zero-consumer graph; source manifest and lockfile absence; CWD Unicode space writable-root and pre-network fail-fast tests
P6-D013	open	Rust	Open local WebUI in default browser	MIT	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Command injection through URL or shell fallback	Open only server-generated loopback URL with validated port	P7.1-002;P7.1-010	Resolve exact release; platform implementation review; hostile-path test; license file hash
P6-D014	include_dir or rust-embed	Rust	Embed audited React assets in binaries	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Source maps or variant-only assets may be embedded	Choose exactly one after size/reproducibility test; drive from generated allowlist	P7.1-002;P7.1-003	Mechanically compare both candidates; approve one locked crate and mark other REJECTED before import; embedded manifest diff
P6-D015	proptest	Rust dev	Three-valued filter scheduler and normalization property tests	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Dev dependency accidentally shipped or nondeterministic failures	Dev-only; persist failure seeds; package graph excludes it	P7.1-002;P7.1-006	Resolve exact dev release; seeded CI; runtime dependency and package absence checks
P6-D016	tempfile	Rust dev	Isolated migration package and filesystem tests	MIT OR Apache-2.0	OFFICIAL_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Windows cleanup races	Explicit close/retry in tests; dev-only	P7.1-002;P7.1-005	Resolve exact dev release; clean-handle tests; runtime graph/package absence check
P6-D017	react and react-dom	Frontend	Single shared product UI	MIT	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Duplicate React copies or target fork	One exact version pair and one shared source graph	P7.1-002;P7.1-003	Resolve exact releases in package lock; npm dependency graph; duplicate version and license file audit
P6-D018	react-router-dom	Frontend	Course Section and local-only route composition	MIT	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Local-only route can leak into public graph	Target entry composes explicit route arrays; public route snapshot and bundle scan	P7.1-002;P7.1-003	Resolve exact release; import graph; route snapshot; public chunk/string audit
P6-D019	i18next and react-i18next	Frontend	Shared en-US zh-CN runtime localization	MIT	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Saved-view strings or persistence adapters could enter public bundle	Split target catalogs at composition root and enforce key allowlists	P7.1-002;P7.1-009	Resolve exact releases; key graph and bundle audit; license files; no duplicate core
P6-D020	zod	Frontend build	Generated client boundary validation only when a real browser consumer remains	MIT	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Second hand-maintained schema could drift from Rust	Generate or golden-test schemas; remove Zod if generated decoder has zero consumer	P7.1-002;P7.1-004	Resolve consumer graph before lock; exact release and license; Rust/TS golden contract test; unused dependency fail
P6-D021	vite and @vitejs/plugin-react	Frontend build	Compile shared React sources into target-specific audited assets	MIT	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Build-only Node tooling may leak into runtime package or emit source maps	Build-only; production source maps off; artifact allowlist excludes Node tooling	P7.1-002;P7.1-003	Resolve exact releases; lockfile/license audit; clean build; package manifests prove zero Node runtime
P6-D022	typescript	Frontend build	Strict typecheck and generated contract validation	Apache-2.0	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Loose compiler settings hide target imports	Strict mode and separate local/public tsconfig references	P7.1-002;P7.1-003	Resolve exact release; config snapshot; typecheck both targets; package absence check
P6-D023	vitest and @testing-library/react	Frontend dev	Component state accessibility and contract tests	MIT	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	JSDOM-only tests can miss real browser failures	Use for unit/component only and require Playwright real-browser gates	P7.1-002;P7.2-001	Resolve exact dev releases; consumer and license audit; runtime/package absence checks
