task_id	subphase	task_name	dependencies	inputs	outputs	mandatory_tests	package_impact	required_skills	commit_boundary	push_boundary	stop_gate
P7.1-001	P7.1	Authorization and dirty-worktree preflight	NONE	P6_REVIEW user approval; current dirty-worktree inventory; P3-P5 frozen gates	approved P7 branch and scope record; preserved-worktree manifest; zero-secret baseline	P6 approval assertion; git status/path allowlist diff; secret-path deny audit	NO_PACKAGE_BUILD	NONE	DEDICATED_COMMIT_AFTER_PREFLIGHT_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_USER_APPROVAL_ABSENT_OR_WORKTREE_OWNERSHIP_AMBIGUOUS
P7.1-002	P7.1	Dependency lock license and SBOM baseline	P7.1-001	06 dependency/license/cleanup matrix; product manifests; official registry metadata resolved from exact lockfiles	exact Rust and frontend lockfiles; license allowlist result; initial SBOM; rejected dependency zero-consumer record	locked-version resolution; duplicate/unused consumer audit; SPDX/license-file verification; advisory scan	NO_PACKAGE_BUILD	NONE	DEDICATED_COMMIT_AFTER_DEPENDENCY_GATE_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_LICENSE_OR_VERSION_CANNOT_BE_MECHANICALLY_RESOLVED
P7.1-003	P7.1	Workspace module graph and capability build guards	P7.1-002	P5 adapter/entrypoint/config contract; P5 UI build exclusion contract; P5 leakage ledger	one Rust workspace; shared crates; local and public binary entries; shared React source; local/public composition roots; graph guard scripts	Cargo feature-unification check; import graph check; local/public typecheck; forbidden source reachability test	BOTH_TARGETS_SOURCE_GRAPH	NONE	DEDICATED_COMMIT_AFTER_GRAPH_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_LONG_LIVED_FORK_OR_VARIANT_LEAKAGE_IS_REQUIRED
P7.1-004	P7.1	Shared domain identity and typed API schema	P7.1-003	P2 section/filter/watch contract; P3 SectionKey and model plan; P5 P7-SHARED-DOMAIN mapping	SectionKey; CourseGroup/Variant; three-valued result algebra; reason codes; versioned HTTP/WS contracts	identity collision fixtures; serialization golden tests; schema compatibility; malformed input and error-code tests	BOTH_TARGETS_SHARED_CORE	NONE	DEDICATED_COMMIT_AFTER_DOMAIN_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_LOCAL_AND_PUBLIC_REQUIRE_DIFFERENT_BUSINESS_SEMANTICS
P7.1-005	P7.1	Shared Catalog discovery normalization storage and observations	P7.1-004	P3 Catalog evidence/profile; P3 ingest plan; P5 P7-SHARED-CATALOG mapping	target-scoped Catalog ingest; normalized Course/Section/occurrence/provenance; SQLite migrations; refresh observations and checkpoints	fixture and recorded-evidence ingest; empty/partial/rollback safety; migration; FTS5; target replacement and content-version tests	BOTH_TARGETS_SHARED_CORE	NONE	DEDICATED_COMMIT_AFTER_CATALOG_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_REAL_EVIDENCE_CONTRADICTS_FROZEN_FIELD_OR_EMPTY_SEMANTICS
P7.1-006	P7.1	Shared query engine FilterSchema and twenty-two filters	P7.1-004;P7.1-005	P2 22-filter contract; P3 delivery/meeting oracle; P5 P7-SHARED-QUERY mapping	single versioned FilterSchema; course-centered query; independent Section search/detail; same-section/same-variant witnesses; UNKNOWN explanations	22 field golden tests; three-valued property tests; multi-window availability; delivery axes; pagination/FTS/query parity	BOTH_TARGETS_SHARED_CORE	NONE	DEDICATED_COMMIT_AFTER_QUERY_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_ANY_FILTER_LACKS_SOURCE_NORMALIZER_QUERY_ENCODER_AND_TEST
P7.1-007	P7.1	Shared Open scheduler reconcile freshness and observations	P7.1-004;P7.1-005	P3 shared Open final contract; P3 two-round evidence; P5 P7-SHARED-OPEN mapping	OpenBatchKey reconcile; LKG; two-clock scheduler; EDF and shared limiter; counters; freshness/lag/uncertainty; bounded diagnostic retention	fake-upstream classification matrix; single-flight/coalescing; local 3s lower bound 3600s upper bound and 10s/30s clocks; backoff/circuit; Catalog race; zero-intersection; no mass-close	BOTH_TARGETS_SHARED_CORE	NONE	DEDICATED_COMMIT_AFTER_OPEN_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_ORIGIN_LOAD_AMPLIFIES_WITH_USER_COUNT_OR_UNSAFE_RESPONSE_MUTATES_STATE
P7.1-008	P7.1	Shared WebSocket watch episode and notification events	P7.1-004;P7.1-007	P2 watch/toast/audio contract; P3 observation/episode contract; P5 P7-SHARED-WATCH mapping	connection-bound active watch manager; maximum-nine selection validation; fanout; OpenEpisode actions; ONE_SHOT and CONTINUOUS event protocol	connect/disconnect cleanup; multi-client one-poll; replay idempotence; audible-cap-does-not-stop-watch; A/C/D alarm; Closed-to-Open rearm	BOTH_TARGETS_SHARED_CORE	NONE	DEDICATED_COMMIT_AFTER_WATCH_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_ACTIVE_WATCH_BECOMES_DURABLE_OR_PER_USER_UPSTREAM_POLLING_APPEARS
P7.1-009	P7.1	Shared en-US zh-CN and error-key contract	P7.1-004	P2 i18n contract; P3 local plan; P4 public locale contract; P5 P7-SHARED-I18N mapping	complete shared message catalogs; typed reason/error keys; target-specific locale bootstrap hooks	key parity; untranslated-string scan; interpolation/plural/format tests; public system-locale and local saved-locale behavior	BOTH_TARGETS_SHARED_CORE	NONE	DEDICATED_COMMIT_AFTER_I18N_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_EITHER_SUPPORTED_LANGUAGE_HAS_INCOMPLETE_PRODUCT_OR_ERROR_FLOW
P7.1-010	P7.1	Windows local runtime persistence history and configurable clocks	P7.1-003;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009	P3 local one-click plan; P5 local adapter matrix; P5 P7-LOCAL-RUNTIME and P7-LOCAL-PERSISTENCE mappings	bcsp-local Rust entry; loopback lifecycle; executable-anchored data/rbcsp.sqlite with operational and LOCAL_ONLY personal table domains; persistent settings/selection/history; 1-1440m Catalog and 3-3600s Open controls	package-root and CWD-independence; writable-root fail-fast before network; exactly-one-primary-DB; first-start schema-only zero rows; migration/restart; Reset personal-table allowlist; active-not-restored; run/day counters; interval boundaries; local API isolation	WINDOWS_LOCAL_SOURCE_GRAPH	NONE	DEDICATED_COMMIT_AFTER_LOCAL_RUNTIME_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_NODE_OR_NPM_IS_REQUIRED_AT_RUNTIME_OR_ACTIVE_WATCH_IS_RESTORED_OR_STORAGE_ESCAPES_PACKAGE_ROOT
