trace_id	source_phase	source_artifact	source_requirement	kind	p7_task_ids	verification_ids	package_impact	risk_ids	status
P6-X-P3-001	P3	p3/07-local-oneclick-implementation-plan.md	EXHAUSTIVE_CAPABILITY_SET sections 3-14 including shared architecture Catalog/query/API/UI/local state/Open/watch/audio and executable-anchored package-relative single-DB Windows package; source SHA256 26B6805284E50639F91FD6523365FD8C0A9607353A0EF6B99D20B6E8910AA634	CAPABILITY	P7.1-003;P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-010;P7.1-011;P7.1-015;P7.2-001;P7.2-002;P7.2-003;P7.2-004;P7.5-002	P7-V-P3-LOCAL-CAPABILITY-CLOSURE	WINDOWS_LOCAL_RELEASE_ARCHIVE	P6-D001;P6-D002;P6-D003;P6-D005;P6-D017;P6-D019	MAPPED
P6-X-P3-002	P3	p3/08-p3-traceability-matrix.tsv	EXHAUSTIVE_ALL_384_TRACE_ROWS mapped as a closed rowset; no row is selectively omitted; source SHA256 234D2C8091B126CC594D6EA406AB9214339FD62FDC0348CDF60D360F434971EE	CAPABILITY	P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-010;P7.1-011;P7.1-015;P7.2-002;P7.2-003;P7.2-004	P7-V-P3-TRACE-384-ROWSET	WINDOWS_LOCAL_RELEASE_ARCHIVE;BOTH_TARGETS_SHARED_CORE	P6-D042	MAPPED
P6-X-P3-003	P3	p3/07-local-oneclick-implementation-plan.md sections 15 and 18	EXHAUSTIVE_P3_LOCAL_TEST_SET domain/storage/API/React/Open/artifact/security/clean-machine plus freeze conditions	TEST_OR_VERIFICATION	P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-010;P7.1-011;P7.1-013;P7.1-015;P7.2-004;P7.4-001;P7.4-002;P7.4-004;P7.4-005;P7.5-001;P7.5-002;P7.5-005	P7-V-P3-LOCAL-ALL-TESTS	WINDOWS_LOCAL_RELEASE_ARCHIVE	P6-D015;P6-D016;P6-D023;P6-D024;P6-D025	MAPPED
P6-X-P3-004	P3	p3/23a-shared-open-final-contract.md section 9; p3/23b-shared-open-final-contract.json	EXHAUSTIVE_OPEN_FAKE_UPSTREAM_TESTS and machine contract; source SHA256 73031DD718A346D659214D6BE4C571D505836098DE42879E8861349CBD73887E and 9BFE6712E959C39B6719E7A47F7F96E33AAC5BD20A8CFEF51320C0E2A0C77804	TEST_OR_VERIFICATION	P7.1-005;P7.1-007;P7.1-008;P7.1-010;P7.1-012;P7.1-015;P7.4-001	P7-V-P3-OPEN-FAKE-UPSTREAM-ALL	BOTH_TARGETS_SHARED_CORE	P6-D002;P6-D003;P6-D005;P6-D011	MAPPED
P6-X-P3-005	P3	p3/07-local-oneclick-implementation-plan.md section 17; p3/23a-shared-open-final-contract.md sections 3-8	EXHAUSTIVE_P3_STOP_AND_RUNTIME_RISKS including evidence contradiction unsafe empty/zero Catalog race LKG staleness lag overload retention audio package leakage and bounded-live preconditions	RISK	P7.1-001;P7.1-005;P7.1-007;P7.1-008;P7.1-010;P7.1-013;P7.1-015;P7.4-001;P7.4-004;P7.5-001;P7.5-002;P7.5-005	P7-V-P3-RISK-STOP-CONDITIONS	BOTH_TARGETS	P6-D003;P6-D005;P6-D007;P6-D011;P6-D042	MAPPED
P6-X-P3-006	P3	p3/00-p3-charter-and-preflight.md through p3/06-section-identity-ingest-query-evidence.md; p3/notebooks; p3/reports	EXHAUSTIVE_CATALOG_EVIDENCE_ARTIFACT_FAMILY preserved as implementation fixtures/provenance only and excluded from release payloads	ARTIFACT_OR_PACKAGE	P7.1-004;P7.1-005;P7.1-006;P7.1-013;P7.4-001;P7.4-004	P7-V-P3-CATALOG-EVIDENCE-PROVENANCE	NO_RAW_EVIDENCE_IN_EITHER_PACKAGE	P6-D005;P6-D009;P6-D042	MAPPED
P6-X-P3-007	P3	p3/10-open-request-manifest.md through p3/23b-shared-open-final-contract.json	EXHAUSTIVE_OPEN_EVIDENCE_DECISION_ARTIFACT_FAMILY including two-round ledger/profile/completion/decision/final contract; runtime consumes frozen semantics but packages exclude raw evidence	ARTIFACT_OR_PACKAGE	P7.1-007;P7.1-008;P7.1-013;P7.4-001;P7.4-004	P7-V-P3-OPEN-EVIDENCE-PROVENANCE	NO_RAW_EVIDENCE_IN_EITHER_PACKAGE	P6-D003;P6-D009;P6-D042	MAPPED
P6-X-P3-008	P3	p3/09-p3-validation-and-freeze-gate.md	P3_PASS final gate and P6 Review storage amendment handoff; source SHA256 7CCB3CB067781961A17E7910D150325CC34B9390CEFEAE18E4F25A4E48CD9851	ARTIFACT_OR_PACKAGE	P7.1-001;P7.1-015;P7.4-001;P7.4-005;P7.5-001	P7-V-P3-GATE-PASS	BOTH_TARGETS	P6-D042	MAPPED
P6-X-P3-009	P3	p3/07-local-oneclick-implementation-plan.md section 13	WINDOWS_LOCAL_RELEASE_ARCHIVE package-relative single-DB content allowlist launcher lifecycle no-preloaded-data deterministic and real clean-machine acceptance; exactly one of two final packages	ARTIFACT_OR_PACKAGE	P7.1-010;P7.1-011;P7.1-013;P7.2-004;P7.4-002;P7.4-004;P7.4-005;P7.5-001;P7.5-002;P7.5-005	P7-V-P3-WINDOWS-PACKAGE	WINDOWS_LOCAL_RELEASE_ARCHIVE	P6-D005;P6-D012;P6-D013;P6-D026;P6-D027;P6-D032;P6-D039;P6-D040	MAPPED
P6-X-P4-001	P4	p4/01-public-baseline-delta-matrix.tsv	EXHAUSTIVE_ALL_76_CAPABILITY_ROWS with 46 INHERIT_SHARED 19 PUBLIC_MODIFY 11 PUBLIC_EXCLUDE; source SHA256 70DE2D625C04E955E1947FFD2F6438E1B996340CCBA4994ADA2D633316CB5EB0	CAPABILITY	P7.1-003;P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-012;P7.1-013;P7.1-014;P7.1-015;P7.2-002;P7.2-003;P7.2-004;P7.5-003;P7.5-004	P7-V-P4-DELTA-76-ROWSET	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D001;P6-D002;P6-D003;P6-D005;P6-D017;P6-D019;P6-D042	MAPPED
