row_id	input_ref	capability	disposition	public_contract	reason	consumers	validation_ids	p7_task_ids
P4-B001	P3-07-§4.1	SHARED_DOMAIN SectionKey CourseGroup Variant three-valued algebra	INHERIT_SHARED	Public and local use one Rust domain model and one versioned contract set.	The public package is a constrained consumer of the P3 baseline, not a second product implementation.	public HTTP API; query; Open reconcile; React UI	P4-T-SHARED-DOMAIN	P7-SHARED-DOMAIN
P4-B002	P3-07-§6.1	CATALOG current term campus subject dictionaries	INHERIT_SHARED	Discover current Rutgers terms and all current valid campuses with source version freshness; never substitute hard-coded fallback data.	P3 froze data semantics and explicitly forbids fallback dictionaries.	public catalog runtime; filter dictionaries; status UI	P4-T-CATALOG-DISCOVERY	P7-SHARED-CATALOG
P4-B003	P3-07-§5.2;§6	CATALOG target-scoped ingest and CourseGroup Variant model	INHERIT_SHARED	Stage and atomically replace only the successful term-campus target while preserving other targets and raw provenance.	Public scale changes ownership and operations, not catalog correctness.	public catalog store; course search; section detail	P4-T-CATALOG-INGEST	P7-SHARED-CATALOG
P4-B004	P3-09-§2;P3-07-§5	SECTION_IDENTITY term campus index	INHERIT_SHARED	Use (term,campus,index) as the external SectionKey; collapse only semantically equivalent exact-scope duplicates.	P3 evidence rejected bare index and found no semantic-conflict duplicate.	query; routes; watch protocol; Open join	P4-T-SECTION-KEY	P7-SHARED-DOMAIN
P4-B005	P3-07-§5.4-§5.5	COURSE_SECTION normalization Delivery occurrence provenance	INHERIT_SHARED	Preserve offering variants and raw values; normalize modality and synchronicity as orthogonal axes and retain UNKNOWN.	The same factual interpretation must reach both packages.	catalog normalize; query; course and section UI	P4-T-DELIVERY-OCCURRENCE	P7-SHARED-CATALOG
P4-B006	P3-07-§6.2;workflow-§13	CATALOG_REFRESH fixed public schedule	PUBLIC_MODIFY	Run catalog refresh at fixed 10 minutes; ordinary users cannot configure or force an upstream request; scheduler remains target-scoped single-flight and coalesced.	Public traffic must not amplify Rutgers requests and the user approved a fixed public value.	public refresh policy adapter; status API; UI	P4-T-PUBLIC-CATALOG-10M;P4-T-NO-USER-UPSTREAM-REFRESH	P7-PUBLIC-RUNTIME
P4-B007	P3-07-§6;§12.1	CATALOG_REFRESH observations timestamps and partial target status	INHERIT_SHARED	Every attempt gets a new observation; unchanged success advances successful timestamp; latest failure is separately visible; one target failure cannot erase another.	These are shared truthfulness and safety semantics.	public status API; readiness; React freshness UI	P4-T-CATALOG-OBSERVATION	P7-SHARED-CATALOG
P4-B008	P3-23a-§2-§3	OPEN_POLLING OpenBatchKey join reconcile and LKG	INHERIT_SHARED	OpenBatchKey=(term,campus); validate same-batch source set then membership-intersect against matching Catalog; orphan audit only; unsafe empty zero-intersection failure and Catalog race keep LKG and never mass-close.	P3 froze one shared Open contract for local and public.	public Open runtime; state store; filters; watchers	P4-T-OPEN-JOIN-LKG	P7-SHARED-OPEN
P4-B009	P3-23a-§4;P3-09-§4	OPEN_POLLING public two-clock cadence	PUBLIC_MODIFY	General public target cadence is fixed 30 seconds; a target with at least one active watch requests effective min(30,10)=10 seconds; users cannot configure either value.	This is the approved public adapter over the shared scheduler contract.	public refresh policy; watch demand registry; status UI	P4-T-OPEN-PUBLIC-30S;P4-T-OPEN-WATCH-10S	P7-PUBLIC-RUNTIME;P7-SHARED-OPEN
P4-B010	P3-23a-§4-§5	OPEN_POLLING scheduling transport backoff circuit	INHERIT_SHARED	Per-target single-flight; same-target watchers do not amplify; Catalog and Open share real-origin concurrency 1; EDF with no starvation; no catch-up burst; frozen timeouts size limit backoff Retry-After and circuits.	Public deployment must not weaken the upstream safety envelope.	public scheduler; Rutgers client; diagnostics	P4-T-OPEN-SCHEDULER-SAFETY	P7-SHARED-OPEN
P4-B011	P3-23a-§6	OPEN_POLLING observation layers and bounded diagnostics	INHERIT_SHARED	Record OpenPullAttempt OpenRefreshObservation and per-watched-section OpenObservation separately; ETag is audit-only; keep current Rutgers day or last 256 details per target and roll older details to daily aggregates without raw bodies.	P3 froze the audit cardinality and bounded retention.	public diagnostics store; status API; watch fanout	P4-T-OPEN-OBSERVATION-LAYERS	P7-SHARED-OPEN
P4-B012	P3-23a-§6;P2-06-§11.3	OPEN_POLLING public counters	PUBLIC_MODIFY	Expose attempted succeeded failed empty at upstream-target-request grain for the service-wide Rutgers day in America/New_York; persist across service restart; do not expose local-run counters.	The public service has shared scheduler ownership rather than a per-device run.	public metrics store; status API; refresh UI	P4-T-PUBLIC-DAY-COUNTERS	P7-PUBLIC-RUNTIME
P4-B013	P3-23a-§6	OPEN_POLLING freshness lag and uncertainty	INHERIT_SHARED	Compute fresh_until from last valid completion; a later failure unsafe result or Catalog race makes LKG stale; stale or UNKNOWN FLT-S03 evaluates UNCERTAIN while UI shows last-known age reason requested effective actual cadence and lag.	Truthful freshness is shared product semantics and prevents false Open or Closed certainty.	query; public status API; cards; section detail	P4-T-OPEN-FRESHNESS	P7-SHARED-OPEN;P7-SHARED-QUERY
P4-B014	P2-06-§2-§3	FILTERING three-valued algebra same-section same-variant witness	INHERIT_SHARED	MATCH UNCERTAIN NO_MATCH and AND OR ANY ALL truth tables are identical; one same section must witness all active section predicates; server owns reasons totals and pagination.	Public and local must return the same answer for the same fresh data.	query engine; course API; section API; React results	P4-T-FILTER-ALGEBRA	P7-SHARED-QUERY
P4-B015	P2-06-FLT-C01;P3-07-§7	FILTERING FLT-C01 Term	INHERIT_SHARED	Required exact term from sourced versioned dictionary; unavailable dictionary blocks the query.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI; i18n	P4-T-FLT-C01	P7-SHARED-QUERY;P7-SHARED-UI
P4-B016	P2-06-FLT-C02;P3-07-§7	FILTERING FLT-C02 Campus	INHERIT_SHARED	Exact multi-select OR over current valid campuses; empty means all available campuses; missing record is UNCERTAIN.	Part of the approved 22-row FilterSchema and Rutgers-wide campus support.	FilterSchema; query; UI; i18n	P4-T-FLT-C02	P7-SHARED-QUERY;P7-SHARED-UI
P4-B017	P2-06-FLT-C03;P3-07-§7	FILTERING FLT-C03 Subject	INHERIT_SHARED	Exact multi-select OR over current sourced subject dictionary; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI; i18n	P4-T-FLT-C03	P7-SHARED-QUERY;P7-SHARED-UI
P4-B018	P2-06-FLT-C04;P3-07-§7.4	FILTERING FLT-C04 Free-text search	INHERIT_SHARED	Case-insensitive token AND across course identifier subject number title and expanded title; exact identifier ranks first; unavailable FTS is an error not fake fallback.	Part of the approved 22-row FilterSchema.	FTS5; query; course UI	P4-T-FLT-C04	P7-SHARED-QUERY;P7-SHARED-UI
P4-B019	P2-06-FLT-C05;P3-07-§7	FILTERING FLT-C05 Course number	INHERIT_SHARED	Exact normalized multi-value OR; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-C05	P7-SHARED-QUERY;P7-SHARED-UI
P4-B020	P2-06-FLT-C06;P3-07-§7	FILTERING FLT-C06 Level	INHERIT_SHARED	Exact multi-select OR and provenance for derived level; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-C06	P7-SHARED-QUERY;P7-SHARED-UI
P4-B021	P2-06-FLT-C07;P3-07-§7	FILTERING FLT-C07 Credits	INHERIT_SHARED	Inclusive minimum and maximum numeric range; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-C07	P7-SHARED-QUERY;P7-SHARED-UI
P4-B022	P2-06-FLT-C08;P3-07-§7	FILTERING FLT-C08 Core code	INHERIT_SHARED	Exact codes with explicit user-selected ANY or ALL and three-valued composition.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-C08	P7-SHARED-QUERY;P7-SHARED-UI
P4-B023	P2-06-FLT-C09;P3-07-§7	FILTERING FLT-C09 Prerequisite presence	INHERIT_SHARED	Any has none with empty distinguished from unknown; source unknown yields UNCERTAIN when filtered.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-C09	P7-SHARED-QUERY;P7-SHARED-UI
P4-B024	P2-06-FLT-C10;P3-07-§7	FILTERING FLT-C10 Course campus location	INHERIT_SHARED	Exact multi-select OR over structured course location; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-C10	P7-SHARED-QUERY;P7-SHARED-UI
P4-B025	P2-06-FLT-S01;P3-07-§7	FILTERING FLT-S01 Section index	INHERIT_SHARED	Exact multi-value OR parsed only with term-campus context and external composite key.	Part of the approved 22-row FilterSchema.	FilterSchema; section query; UI	P4-T-FLT-S01	P7-SHARED-QUERY;P7-SHARED-UI
P4-B026	P2-06-FLT-S02;P3-07-§7	FILTERING FLT-S02 Section number	INHERIT_SHARED	Exact multi-value OR over structured section number; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; section query; UI	P4-T-FLT-S02	P7-SHARED-QUERY;P7-SHARED-UI
P4-B027	P2-06-FLT-S03;P3-23a-§6	FILTERING FLT-S03 Open status	INHERIT_SHARED	Exact multi-select over fresh canonical OPEN CLOSED UNKNOWN; stale LKG or no LKG is UNCERTAIN and Catalog raw status never substitutes.	Part of the approved 22-row FilterSchema and frozen shared Open truth table.	FilterSchema; query; Open state; UI	P4-T-FLT-S03	P7-SHARED-QUERY;P7-SHARED-OPEN;P7-SHARED-UI
P4-B028	P2-06-FLT-S04a;P3-07-§5.5	FILTERING FLT-S04a Delivery modality	INHERIT_SHARED	Exact OR over ON_CAMPUS_OR_IN_PERSON ONLINE HYBRID OTHER UNKNOWN with raw provenance and no non-online inference.	Part of the approved 22-row FilterSchema and P3 Delivery oracle.	FilterSchema; normalize; query; UI	P4-T-FLT-S04a	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI
P4-B029	P2-06-FLT-S04b;P3-07-§5.5	FILTERING FLT-S04b Delivery synchronicity	INHERIT_SHARED	Exact OR over SYNC ASYNC MIXED UNSPECIFIED UNKNOWN independent of modality.	Part of the approved 22-row FilterSchema and P3 Delivery oracle.	FilterSchema; normalize; query; UI	P4-T-FLT-S04b	P7-SHARED-CATALOG;P7-SHARED-QUERY;P7-SHARED-UI
P4-B030	P2-06-FLT-S05;P3-07-§7	FILTERING FLT-S05 Instructor	INHERIT_SHARED	Dictionary exact-only OR; preserve observed name-only reliability; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; query; UI	P4-T-FLT-S05	P7-SHARED-QUERY;P7-SHARED-UI
P4-B031	P2-06-FLT-S06;P3-07-§7.3	FILTERING FLT-S06 Weekly occurrence availability	INHERIT_SHARED	All potential-required occurrences must fit one of the user's windows for their weekday; TBA partial invalid or unknown requiredness follows the frozen strict three-valued rules.	This strict scenario is a core user requirement.	FilterSchema; occurrence query; UI reasons	P4-T-FLT-S06	P7-SHARED-QUERY;P7-SHARED-UI
