risk_id	rejected_dependency_or_surface	active_graph_status	zero_consumer_scope	repository_wide_claim	legacy_graph_disposition	owner_task	owner_exit_criterion
P6-D012	directories	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-010	Executable-relative package-root tests pass and no manifest lock or source consumer remains
P6-D031	Fastify and Fastify plugins	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-003	Axum parity is established and legacy server imports scripts manifests and locks are removed
P6-D032	better-sqlite3	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-005	Rusqlite migration and query parity passes and legacy addon closure is removed
P6-D033	root Zod backend schemas	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-004	Rust typed contract parity passes and root backend schema consumers are removed
P6-D034	root tsx TypeScript and backend types	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-003	Valuable tests are migrated and obsolete root runner closure is removed
P6-D035	react-window and types	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.2-001	Responsive UI replaces legacy virtualization consumers and browser large-list tests pass
P6-D036	mail SMTP and SendGrid notification closure	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-013	Source config schema templates dependency and package deny scans pass
P6-D037	Discord SDK webhook and OAuth closure	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-013	Source API config i18n bundle dependency and package deny scans pass
P6-D038	HTTP claim polling and device-id closure	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-008	Shared WebSocket lifecycle replaces polling and route storage protocol deny scans pass
P6-D039	Vite runtime npm-on-first-run and oneclick_start.js	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-010	Clean Windows no-Node process-tree and archive deny tests pass
P6-D040	macOS launcher and platform closure	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.4-004	Both canonical package manifests exclude unsupported platform artifacts
P6-D041	Calendar waitlist share-link and compact-view closure	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-013	Source DOM route API storage i18n bundle and package deny scans pass
P6-D042	duplicate alternate HTTP query persistence i18n or Open stacks	ZERO_CONSUMER_REQUIRED	ACTIVE_P7_TARGET_GRAPH_ONLY	FALSE	FROZEN_EXCLUDED_PENDING_OWNER_TASK	P7.1-003	One-owner import and dependency graph assertions pass for both entries
