deny_id	capability	surface	forbidden_public_surface	allowed_exception	status	validation_id	p7_task_id
P4-D-SAVED_VIEWS-SOURCE	SAVED_VIEWS	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-DOM	SAVED_VIEWS	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-ROUTE	SAVED_VIEWS	ROUTE	No browser route link redirect route loader or navigation state may expose or restore Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-API	SAVED_VIEWS	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-API	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-STORAGE	SAVED_VIEWS	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-I18N	SAVED_VIEWS	I18N	No reachable public message key namespace label help text or error copy may advertise Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-BUNDLE	SAVED_VIEWS	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the Saved views definitions manager CRUD apply CAS migration or local library feature surface.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-SAVED_VIEWS-PACKAGE	SAVED_VIEWS	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship Saved views definitions manager CRUD apply CAS migration or local library.	Shared FilterSchema ordinary filters chips and canonical normalization remain; local-only Saved views modules may exist in the repository but are excluded from the public build graph.	PUBLIC_ZERO_SURFACE	P4-Z-SAVED_VIEWS-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-SOURCE	PERSISTENT_PREFS	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-DOM	PERSISTENT_PREFS	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-ROUTE	PERSISTENT_PREFS	ROUTE	No browser route link redirect route loader or navigation state may expose or restore persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-API	PERSISTENT_PREFS	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-API	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-STORAGE	PERSISTENT_PREFS	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-I18N	PERSISTENT_PREFS	I18N	No reachable public message key namespace label help text or error copy may advertise persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-BUNDLE	PERSISTENT_PREFS	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the persistent filters locale audio refresh or ordinary user preferences feature surface.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_PREFS-PACKAGE	PERSISTENT_PREFS	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship persistent filters locale audio refresh or ordinary user preferences.	Current-page in-memory filters and audio choices plus system-language initialization are allowed; they disappear on top-level reload.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_PREFS-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-SOURCE	PERSISTENT_HISTORY	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-DOM	PERSISTENT_HISTORY	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-ROUTE	PERSISTENT_HISTORY	ROUTE	No browser route link redirect route loader or navigation state may expose or restore durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-API	PERSISTENT_HISTORY	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-API	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-STORAGE	PERSISTENT_HISTORY	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-I18N	PERSISTENT_HISTORY	I18N	No reachable public message key namespace label help text or error copy may advertise durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-I18N	P7-PUBLIC-ZERO-SURFACE
